pair,Player1,Player2,ice_time,goals_for,goals_against,shots_for,goals_for_per_60,goals_against_per_60,shots_for_per_60,lambda_for,lambda_against,prob_goal_for_1200,prob_goal_against_1200,PlayerA,PlayerB
Jamie Benn & Vladislav Namestnikov,Jamie Benn,Vladislav Namestnikov,3434,1,4,21,1.04834012813046,4.19336051252184,22.015142690739662,0.34944670937682,1.39778683750728,0.29492190508581917,0.7528566725343613,Jamie Benn,Vladislav Namestnikov
Luke Glendening & Vladislav Namestnikov,Luke Glendening,Vladislav Namestnikov,2457,0,3,10,0,4.395604395604396,14.652014652014651,0,1.4652014652014653,0,0.7689685580075689,Luke Glendening,Vladislav Namestnikov
Radek Faksa & Vladislav Namestnikov,Radek Faksa,Vladislav Namestnikov,1568,0,1,7,0,2.2959183673469385,16.07142857142857,0,0.7653061224489794,0,0.5348084963870111,Radek Faksa,Vladislav Namestnikov
Andrej Sekera & Vladislav Namestnikov,Andrej Sekera,Vladislav Namestnikov,612,1,0,5,5.882352941176471,0,29.411764705882355,1.9607843137254903,0,0.8592520129587693,0,Andrej Sekera,Vladislav Namestnikov
Ryan Suter & Vladislav Namestnikov,Ryan Suter,Vladislav Namestnikov,7506,2,6,47,0.9592326139088729,2.8776978417266186,22.54196642685851,0.31974420463629094,0.9592326139088728,0.273665193610812,0.6168131745817036,Ryan Suter,Vladislav Namestnikov
Jani Hakanpaa & Vladislav Namestnikov,Jani Hakanpaa,Vladislav Namestnikov,4816,4,3,31,2.990033222591362,2.2425249169435215,23.172757475083056,0.9966777408637874,0.7475083056478404,0.6308963355265969,0.5264549866152163,Jani Hakanpaa,Vladislav Namestnikov
Alexander Radulov & Vladislav Namestnikov,Alexander Radulov,Vladislav Namestnikov,2626,0,1,25,0,1.370906321401371,34.27265803503427,0,0.456968773800457,0,0.3667998878128922,Alexander Radulov,Vladislav Namestnikov
Roope Hintz & Vladislav Namestnikov,Roope Hintz,Vladislav Namestnikov,1341,1,0,16,2.6845637583892614,0,42.95302013422818,0.8948545861297538,0,0.5913329798265683,0,Roope Hintz,Vladislav Namestnikov
Joe Pavelski & Vladislav Namestnikov,Joe Pavelski,Vladislav Namestnikov,2736,2,1,27,2.631578947368421,1.3157894736842104,35.526315789473685,0.8771929824561402,0.4385964912280701,0.5840511497690231,0.3550590335302176,Joe Pavelski,Vladislav Namestnikov
Thomas Harley & Vladislav Namestnikov,Thomas Harley,Vladislav Namestnikov,2017,0,0,15,0,0,26.77243430837878,0,0,0,0,Thomas Harley,Vladislav Namestnikov
Jason Robertson & Vladislav Namestnikov,Jason Robertson,Vladislav Namestnikov,1869,1,0,18,1.9261637239165328,0,34.670947030497594,0.6420545746388442,0,0.47378982543677173,0,Jason Robertson,Vladislav Namestnikov
Jacob Peterson & Vladislav Namestnikov,Jacob Peterson,Vladislav Namestnikov,2101,0,1,17,0,1.7134697762970015,29.128986197049027,0,0.5711565920990005,0,0.43512826544724903,Jacob Peterson,Vladislav Namestnikov
Miro Heiskanen & Vladislav Namestnikov,Miro Heiskanen,Vladislav Namestnikov,7143,2,5,48,1.007979840403192,2.51994960100798,24.191516169676607,0.33599328013439733,0.8399832003359933,0.28537209199658,0.5682822239182577,Miro Heiskanen,Vladislav Namestnikov
Michael Raffl & Vladislav Namestnikov,Michael Raffl,Vladislav Namestnikov,1334,1,1,11,2.6986506746626686,2.6986506746626686,29.685157421289357,0.8995502248875562,0.8995502248875562,0.5932474342147649,0.5932474342147649,Michael Raffl,Vladislav Namestnikov
Marian Studenic & Vladislav Namestnikov,Marian Studenic,Vladislav Namestnikov,1068,0,1,7,0,3.370786516853933,23.59550561797753,0,1.1235955056179776,0,0.6748912397197202,Marian Studenic,Vladislav Namestnikov
Marian Studenic & Miro Heiskanen,Marian Studenic,Miro Heiskanen,3359,1,2,30,1.0717475439118787,2.1434950878237573,32.15242631735636,0.35724918130395955,0.7144983626079191,0.3004018507657541,0.5105624295880178,Marian Studenic,Miro Heiskanen
