pair,Player1,Player2,ice_time,goals_for,goals_against,shots_for,goals_for_per_60,goals_against_per_60,shots_for_per_60,lambda_for,lambda_against,prob_goal_for_1200,prob_goal_against_1200,PlayerA,PlayerB
Denis Gurianov & Joe Pavelski,Denis Gurianov,Joe Pavelski,2592,0,0,22,0,0,30.555555555555554,0,0,0,0,Denis Gurianov,Joe Pavelski
Alexander Radulov & Joel Hanley,Alexander Radulov,Joel Hanley,7734,1,8,51,0.46547711404189296,3.7238169123351437,23.73933281613654,0.1551590380139643,1.2412723041117144,0.14372101425522343,0.7109837326691274,Alexander Radulov,Joel Hanley
Joel Hanley & Miro Heiskanen,Joel Hanley,Miro Heiskanen,1644,0,2,6,0,4.37956204379562,13.13868613138686,0,1.4598540145985401,0,0.7677298196896415,Joel Hanley,Miro Heiskanen
Andrej Sekera & Joel Hanley,Andrej Sekera,Joel Hanley,3872,0,3,21,0,2.7892561983471076,19.524793388429753,0,0.9297520661157025,0,0.605348454266573,Andrej Sekera,Joel Hanley
Alexander Radulov & Joel Kiviranta,Alexander Radulov,Joel Kiviranta,9036,2,5,81,0.796812749003984,1.9920318725099602,32.27091633466136,0.2656042496679947,0.6640106241699867,0.2332574939326858,0.4852174107099513,Alexander Radulov,Joel Kiviranta
Joe Pavelski & Joel Kiviranta,Joe Pavelski,Joel Kiviranta,2380,0,2,18,0,3.025210084033614,27.22689075630252,0,1.0084033613445378,0,0.635199029835938,Joe Pavelski,Joel Kiviranta
Jamie Benn & Michael Raffl,Jamie Benn,Michael Raffl,10760,1,9,65,0.33457249070631967,3.0111524163568775,21.74721189591078,0.11152416356877322,1.003717472118959,0.10553022243985055,0.6334856015680599,Jamie Benn,Michael Raffl
Jamie Benn & Tanner Kero,Jamie Benn,Tanner Kero,730,0,0,5,0,0,24.65753424657534,0,0,0,0,Jamie Benn,Tanner Kero
Denis Gurianov & Joel Kiviranta,Denis Gurianov,Joel Kiviranta,4035,0,2,27,0,1.784386617100372,24.08921933085502,0,0.5947955390334573,0,0.4483246495872185,Denis Gurianov,Joel Kiviranta
Joel Kiviranta & John Klingberg,Joel Kiviranta,John Klingberg,11105,0,8,94,0,2.5934263845114813,30.472760018009907,0,0.864475461503827,0,0.5787275316901277,Joel Kiviranta,John Klingberg
Michael Raffl & Tanner Kero,Michael Raffl,Tanner Kero,279,0,1,3,0,12.903225806451612,38.70967741935484,0,4.301075268817204,0,0.9864460229950055,Michael Raffl,Tanner Kero
Andrej Sekera & John Klingberg,Andrej Sekera,John Klingberg,2057,0,2,16,0,3.5002430724355857,28.001944579484686,0,1.166747690811862,0,0.6886220062432913,Andrej Sekera,John Klingberg
Jacob Peterson & Tanner Kero,Jacob Peterson,Tanner Kero,1417,0,1,10,0,2.5405786873676783,25.40578687367678,0,0.8468595624558928,0,0.5712406882866212,Jacob Peterson,Tanner Kero
Blake Comeau & Esa Lindell,Blake Comeau,Esa Lindell,1637,1,3,10,2.1991447770311545,6.5974343310934636,21.991447770311545,0.7330482590103848,2.1991447770311545,0.519557756683255,0.8891020396989945,Blake Comeau,Esa Lindell
Blake Comeau & John Klingberg,Blake Comeau,John Klingberg,1613,0,0,10,0,0,22.31866088034718,0,0,0,0,Blake Comeau,John Klingberg
Blake Comeau & Michael Raffl,Blake Comeau,Michael Raffl,2929,1,4,18,1.2290884260839878,4.916353704335951,22.12359166951178,0.4096961420279959,1.6387845681119837,0.3361480638041475,0.8057840448411,Blake Comeau,Michael Raffl
Blake Comeau & Radek Faksa,Blake Comeau,Radek Faksa,1672,0,3,8,0,6.45933014354067,17.22488038277512,0,2.15311004784689,0,0.8838775507735902,Blake Comeau,Radek Faksa
Esa Lindell & Jason Robertson,Esa Lindell,Jason Robertson,23284,9,15,204,1.3915134856553857,2.3191891427589764,31.540972341522075,0.46383782855179523,0.7730630475863254,0.37113446976814,0.5384029929114902,Esa Lindell,Jason Robertson
Jason Robertson & Joe Pavelski,Jason Robertson,Joe Pavelski,71724,60,57,811,3.0115442529697174,2.8609670403212313,40.70603981930734,1.0038480843232391,0.953655680107077,0.6335334696953906,0.6146701969547153,Jason Robertson,Joe Pavelski
Jason Robertson & John Klingberg,Jason Robertson,John Klingberg,42395,28,37,490,2.3776388725085504,3.141879938672013,41.60868026889964,0.7925462908361834,1.047293312890671,0.5473093555355083,0.6491137958878394,Jason Robertson,John Klingberg
Jason Robertson & Roope Hintz,Jason Robertson,Roope Hintz,65985,67,46,767,3.655376221868606,2.5096612866560584,41.84587406228688,1.2184587406228686,0.836553762218686,0.7043144559758342,0.5667991328901504,Jason Robertson,Roope Hintz
Jason Robertson & Ryan Suter,Jason Robertson,Ryan Suter,34032,15,22,368,1.5867418899858956,2.32722143864598,38.928067700987306,0.5289139633286318,0.77574047954866,0.41075543649131274,0.5396372344557874,Jason Robertson,Ryan Suter
Alexander Radulov & Jason Robertson,Alexander Radulov,Jason Robertson,9536,6,6,117,2.2651006711409396,2.2651006711409396,44.16946308724832,0.7550335570469798,0.7550335570469798,0.5300051571731108,0.5300051571731108,Alexander Radulov,Jason Robertson
Andrej Sekera & Jason Robertson,Andrej Sekera,Jason Robertson,3907,2,4,42,1.8428461735346813,3.6856923470693626,38.69976964422831,0.6142820578448938,1.2285641156897875,0.4589708164335907,0.7072874225294646,Andrej Sekera,Jason Robertson
Jamie Benn & Jason Robertson,Jamie Benn,Jason Robertson,6626,6,7,69,3.259885300332025,3.8031995170540296,37.48868095381829,1.0866284334440084,1.2677331723513432,0.6626480168941066,0.7185310592635439,Jamie Benn,Jason Robertson
Jani Hakanpaa & Jason Robertson,Jani Hakanpaa,Jason Robertson,15979,10,12,134,2.2529570060704676,2.703548407284561,30.18962388134426,0.7509856686901558,0.9011828024281869,0.5280988147935178,0.5939109475524009,Jani Hakanpaa,Jason Robertson
Blake Comeau & Miro Heiskanen,Blake Comeau,Miro Heiskanen,1425,1,2,5,2.526315789473684,5.052631578947368,12.631578947368421,0.8421052631578947,1.6842105263157894,0.5691973848025648,0.8144091067390505,Blake Comeau,Miro Heiskanen
Jason Robertson & Tyler Seguin,Jason Robertson,Tyler Seguin,13972,12,14,147,3.0918980818780417,3.607214428857715,37.875751503006015,1.030632693959347,1.2024048096192383,0.64321884413808,0.699529232604051,Jason Robertson,Tyler Seguin
Andrej Sekera & Blake Comeau,Andrej Sekera,Blake Comeau,477,0,1,2,0,7.547169811320755,15.09433962264151,0,2.5157232704402515,0,0.9191955524019978,Andrej Sekera,Blake Comeau
Blake Comeau & Jani Hakanpaa,Blake Comeau,Jani Hakanpaa,1173,0,1,9,0,3.0690537084398977,27.62148337595908,0,1.023017902813299,0,0.6404916598599776,Blake Comeau,Jani Hakanpaa
Jason Robertson & Miro Heiskanen,Jason Robertson,Miro Heiskanen,30226,11,20,322,1.3101303513531397,2.382055184278436,38.351088466882814,0.43671011711771324,0.7940183947594786,0.35384128538517723,0.5479752729391936,Jason Robertson,Miro Heiskanen
Blake Comeau & Joel Kiviranta,Blake Comeau,Joel Kiviranta,700,0,0,3,0,0,15.428571428571429,0,0,0,0,Blake Comeau,Joel Kiviranta
Blake Comeau & Tyler Seguin,Blake Comeau,Tyler Seguin,418,0,0,1,0,0,8.61244019138756,0,0,0,0,Blake Comeau,Tyler Seguin
Blake Comeau & Ryan Suter,Blake Comeau,Ryan Suter,1619,0,0,10,0,0,22.23594811612106,0,0,0,0,Blake Comeau,Ryan Suter
Blake Comeau & Roope Hintz,Blake Comeau,Roope Hintz,161,0,0,0,0,0,0,0,0,0,0,Blake Comeau,Roope Hintz
Jason Robertson & Radek Faksa,Jason Robertson,Radek Faksa,5746,1,4,28,0.6265227984684999,2.5060911938739996,17.542638357117994,0.20884093282283328,0.8353637312913331,0.18847568774123402,0.5662833035950017,Jason Robertson,Radek Faksa
Jason Robertson & Luke Glendening,Jason Robertson,Luke Glendening,3713,3,4,25,2.90869916509561,3.878265553460813,24.23915970913008,0.9695663883652033,1.2927551844869376,0.6207525514381577,0.7254865948644215,Jason Robertson,Luke Glendening
Blake Comeau & Jason Robertson,Blake Comeau,Jason Robertson,174,0,0,3,0,0,62.06896551724138,0,0,0,0,Blake Comeau,Jason Robertson
Blake Comeau & Jamie Benn,Blake Comeau,Jamie Benn,248,0,0,1,0,0,14.516129032258064,0,0,0,0,Blake Comeau,Jamie Benn
Blake Comeau & Denis Gurianov,Blake Comeau,Denis Gurianov,38,0,0,0,0,0,0,0,0,0,0,Blake Comeau,Denis Gurianov
Jason Robertson & Joel Hanley,Jason Robertson,Joel Hanley,8104,0,5,65,0,2.2211253701875617,28.8746298124383,0,0.7403751233958539,0,0.5230650275062085,Jason Robertson,Joel Hanley
Blake Comeau & Luke Glendening,Blake Comeau,Luke Glendening,1548,2,0,12,4.651162790697675,0,27.906976744186046,1.550387596899225,0,0.7878342768886881,0,Blake Comeau,Luke Glendening
Blake Comeau & Joel Hanley,Blake Comeau,Joel Hanley,64,0,1,0,0,56.25,0,0,18.75,0,0.9999999928058669,Blake Comeau,Joel Hanley
Joel Hanley & John Klingberg,Joel Hanley,John Klingberg,12083,1,8,95,0.2979392534966482,2.3835140279731855,28.30422908218158,0.09931308449888272,0.7945046759910618,0.09454082159163002,0.5481950306438207,Joel Hanley,John Klingberg
Denis Gurianov & Jason Robertson,Denis Gurianov,Jason Robertson,5853,4,1,53,2.4602767811378783,0.6150691952844696,32.59866735007688,0.8200922603792927,0.20502306509482318,0.5596089780110834,0.185371473289492,Denis Gurianov,Jason Robertson
Jason Robertson & Joel Kiviranta,Jason Robertson,Joel Kiviranta,986,0,0,3,0,0,10.953346855983773,0,0,0,0,Jason Robertson,Joel Kiviranta
Jani Hakanpaa & Thomas Harley,Jani Hakanpaa,Thomas Harley,10112,0,6,85,0,2.136075949367089,30.261075949367086,0,0.7120253164556962,0,0.509350529963566,Jani Hakanpaa,Thomas Harley
Luke Glendening & Thomas Harley,Luke Glendening,Thomas Harley,5165,0,4,37,0,2.787996127783156,25.788964181994192,0,0.9293320425943854,0,0.6051826565176011,Luke Glendening,Thomas Harley
Michael Raffl & Thomas Harley,Michael Raffl,Thomas Harley,4618,0,4,27,0,3.118233001299264,21.04807275877003,0,1.0394110004330879,0,0.6463370720642483,Michael Raffl,Thomas Harley
Radek Faksa & Thomas Harley,Radek Faksa,Thomas Harley,5762,1,5,40,0.624783061437001,3.123915307185005,24.99132245748004,0.20826102047900033,1.0413051023950017,0.18800493829171894,0.6470063117057671,Radek Faksa,Thomas Harley
Blake Comeau & Tanner Kero,Blake Comeau,Tanner Kero,371,0,0,3,0,0,29.110512129380055,0,0,0,0,Blake Comeau,Tanner Kero
Blake Comeau & Thomas Harley,Blake Comeau,Thomas Harley,759,0,0,4,0,0,18.972332015810277,0,0,0,0,Blake Comeau,Thomas Harley
Joel Kiviranta & Thomas Harley,Joel Kiviranta,Thomas Harley,4646,1,0,43,0.7748600947051227,0,33.31898407232027,0.2582866982350409,0,0.22762623783348057,0,Joel Kiviranta,Thomas Harley
Tanner Kero & Thomas Harley,Tanner Kero,Thomas Harley,704,0,0,3,0,0,15.34090909090909,0,0,0,0,Tanner Kero,Thomas Harley
Alexander Radulov & Thomas Harley,Alexander Radulov,Thomas Harley,6836,0,4,55,0,2.1064950263311877,28.964306612053836,0,0.7021650087770626,0,0.5044886447763316,Alexander Radulov,Thomas Harley
Jamie Benn & Thomas Harley,Jamie Benn,Thomas Harley,6417,1,5,60,0.5610098176718092,2.805049088359046,33.66058906030855,0.18700327255726973,0.9350163627863487,0.17055897801228392,0.6074205582145675,Jamie Benn,Thomas Harley
Thomas Harley & Tyler Seguin,Thomas Harley,Tyler Seguin,7777,2,6,78,0.9258068664009258,2.7774205992027774,36.106467789636106,0.3086022888003086,0.9258068664009258,0.2655271799869734,0.6037883997610825,Thomas Harley,Tyler Seguin
Jason Robertson & Thomas Harley,Jason Robertson,Thomas Harley,9140,5,10,101,1.9693654266958425,3.938730853391685,39.78118161925602,0.6564551422319475,1.312910284463895,0.481313249818505,0.7309640551861594,Jason Robertson,Thomas Harley
Roope Hintz & Thomas Harley,Roope Hintz,Thomas Harley,7990,3,7,85,1.3516896120150186,3.1539424280350437,38.29787234042553,0.45056320400500616,1.0513141426783479,0.3627308619984805,0.6505218169858678,Roope Hintz,Thomas Harley
Joe Pavelski & Thomas Harley,Joe Pavelski,Thomas Harley,8716,1,10,99,0.4130335016062414,4.130335016062414,40.8903166590179,0.13767783386874713,1.3767783386874712,0.12862062454777823,0.7476096390659308,Joe Pavelski,Thomas Harley
John Klingberg & Thomas Harley,John Klingberg,Thomas Harley,12074,1,10,124,0.2981613384131191,2.981613384131191,36.97200596322677,0.09938711280437303,0.9938711280437303,0.09460784871931527,0.6298589493602629,John Klingberg,Thomas Harley
Jason Robertson & Tanner Kero,Jason Robertson,Tanner Kero,145,0,0,0,0,0,0,0,0,0,0,Jason Robertson,Tanner Kero
Miro Heiskanen & Thomas Harley,Miro Heiskanen,Thomas Harley,2755,0,1,23,0,1.306715063520871,30.05444646098003,0,0.4355716878402903,0,0.3531052605099564,Miro Heiskanen,Thomas Harley
Denis Gurianov & Thomas Harley,Denis Gurianov,Thomas Harley,5962,1,5,52,0.6038242200603824,3.019121100301912,31.398859443139884,0.20127474002012746,1.0063737001006372,0.18231225085800973,0.6344578555331205,Denis Gurianov,Thomas Harley
Ryan Suter & Thomas Harley,Ryan Suter,Thomas Harley,238,0,1,3,0,15.126050420168067,45.378151260504204,0,5.042016806722689,0,0.9935392948236706,Ryan Suter,Thomas Harley
Alexander Radulov & Riley Tufte,Alexander Radulov,Riley Tufte,1538,0,1,8,0,2.340702210663199,18.725617685305593,0,0.7802340702210664,0,0.5417012753343873,Alexander Radulov,Riley Tufte
Esa Lindell & Riley Tufte,Esa Lindell,Riley Tufte,1373,0,0,5,0,0,13.109978150036417,0,0,0,0,Esa Lindell,Riley Tufte
Jani Hakanpaa & Riley Tufte,Jani Hakanpaa,Riley Tufte,1625,0,1,8,0,2.2153846153846155,17.723076923076924,0,0.7384615384615385,0,0.5221514981489528,Jani Hakanpaa,Riley Tufte
Radek Faksa & Riley Tufte,Radek Faksa,Riley Tufte,1297,0,1,7,0,2.7756360832690823,19.429452582883577,0,0.9252120277563607,0,0.6035526476795625,Radek Faksa,Riley Tufte
Luke Glendening & Riley Tufte,Luke Glendening,Riley Tufte,1677,1,2,6,2.146690518783542,4.293381037567084,12.880143112701253,0.7155635062611806,1.4311270125223612,0.5110834733673109,0.7609606299854269,Luke Glendening,Riley Tufte
Miro Heiskanen & Riley Tufte,Miro Heiskanen,Riley Tufte,688,0,0,3,0,0,15.69767441860465,0,0,0,0,Miro Heiskanen,Riley Tufte
John Klingberg & Riley Tufte,John Klingberg,Riley Tufte,1622,1,1,10,2.219482120838471,2.219482120838471,22.19482120838471,0.7398273736128236,0.7398273736128236,0.5228037149180823,0.5228037149180823,John Klingberg,Riley Tufte
Riley Tufte & Ryan Suter,Riley Tufte,Ryan Suter,1579,1,1,9,2.279924002533249,2.279924002533249,20.519316022799238,0.759974667511083,0.759974667511083,0.5323217256854514,0.5323217256854514,Riley Tufte,Ryan Suter
Jamie Benn & Riley Tufte,Jamie Benn,Riley Tufte,523,0,0,4,0,0,27.533460803059274,0,0,0,0,Jamie Benn,Riley Tufte
Denis Gurianov & Riley Tufte,Denis Gurianov,Riley Tufte,1009,0,0,9,0,0,32.111000991080275,0,0,0,0,Denis Gurianov,Riley Tufte
Andrej Sekera & Riley Tufte,Andrej Sekera,Riley Tufte,205,0,0,1,0,0,17.5609756097561,0,0,0,0,Andrej Sekera,Riley Tufte
Riley Tufte & Tyler Seguin,Riley Tufte,Tyler Seguin,556,0,0,4,0,0,25.89928057553957,0,0,0,0,Riley Tufte,Tyler Seguin
Riley Tufte & Roope Hintz,Riley Tufte,Roope Hintz,270,0,0,0,0,0,0,0,0,0,0,Riley Tufte,Roope Hintz
Jason Robertson & Michael Raffl,Jason Robertson,Michael Raffl,646,1,1,4,5.572755417956657,5.572755417956657,22.291021671826627,1.8575851393188856,1.8575851393188856,0.843950987645679,0.843950987645679,Jason Robertson,Michael Raffl
Jacob Peterson & Jason Robertson,Jacob Peterson,Jason Robertson,1574,2,1,16,4.57433290978399,2.287166454891995,36.59466327827192,1.5247776365946635,0.7623888182973317,0.7823305467949015,0.5334494098116492,Jacob Peterson,Jason Robertson
Jacob Peterson & Michael Raffl,Jacob Peterson,Michael Raffl,1075,0,0,7,0,0,23.44186046511628,0,0,0,0,Jacob Peterson,Michael Raffl
Esa Lindell & Ty Dellandrea,Esa Lindell,Ty Dellandrea,645,0,0,3,0,0,16.74418604651163,0,0,0,0,Esa Lindell,Ty Dellandrea
John Klingberg & Ty Dellandrea,John Klingberg,Ty Dellandrea,454,0,0,2,0,0,15.859030837004406,0,0,0,0,John Klingberg,Ty Dellandrea
Luke Glendening & Ty Dellandrea,Luke Glendening,Ty Dellandrea,31,0,0,0,0,0,0,0,0,0,0,Luke Glendening,Ty Dellandrea
Radek Faksa & Ty Dellandrea,Radek Faksa,Ty Dellandrea,541,0,1,0,0,6.654343807763401,0,0,2.2181146025878,0,0.8911859266832769,Radek Faksa,Ty Dellandrea
Ty Dellandrea & Tyler Seguin,Ty Dellandrea,Tyler Seguin,343,0,0,3,0,0,31.486880466472304,0,0,0,0,Ty Dellandrea,Tyler Seguin
Michael Raffl & Riley Damiani,Michael Raffl,Riley Damiani,540,0,0,4,0,0,26.666666666666668,0,0,0,0,Michael Raffl,Riley Damiani
Michael Raffl & Ty Dellandrea,Michael Raffl,Ty Dellandrea,663,0,0,1,0,0,5.429864253393665,0,0,0,0,Michael Raffl,Ty Dellandrea
Miro Heiskanen & Riley Damiani,Miro Heiskanen,Riley Damiani,1491,0,1,9,0,2.414486921529175,21.730382293762574,0,0.8048289738430583,0,0.5528356031717274,Miro Heiskanen,Riley Damiani
Miro Heiskanen & Ty Dellandrea,Miro Heiskanen,Ty Dellandrea,852,0,1,4,0,4.225352112676056,16.901408450704224,0,1.408450704225352,0,0.7554781735275009,Miro Heiskanen,Ty Dellandrea
Riley Damiani & Ryan Suter,Riley Damiani,Ryan Suter,1600,0,1,8,0,2.25,18,0,0.75,0,0.5276334472589853,Riley Damiani,Ryan Suter
Riley Damiani & Ty Dellandrea,Riley Damiani,Ty Dellandrea,101,0,0,2,0,0,71.2871287128713,0,0,0,0,Riley Damiani,Ty Dellandrea
Ryan Suter & Ty Dellandrea,Ryan Suter,Ty Dellandrea,811,0,1,3,0,4.438964241676942,13.316892725030826,0,1.4796547472256472,0,0.7722837055040171,Ryan Suter,Ty Dellandrea
Esa Lindell & Riley Damiani,Esa Lindell,Riley Damiani,840,0,0,13,0,0,55.714285714285715,0,0,0,0,Esa Lindell,Riley Damiani
John Klingberg & Riley Damiani,John Klingberg,Riley Damiani,898,1,0,14,4.008908685968819,0,56.12472160356348,1.3363028953229397,0,0.7371844688366722,0,John Klingberg,Riley Damiani
Jacob Peterson & Riley Damiani,Jacob Peterson,Riley Damiani,842,0,1,4,0,4.275534441805226,17.102137767220903,0,1.4251781472684084,0,0.7595343789011918,Jacob Peterson,Riley Damiani
Luke Glendening & Riley Damiani,Luke Glendening,Riley Damiani,1553,0,0,11,0,0,25.49903412749517,0,0,0,0,Luke Glendening,Riley Damiani
Andrej Sekera & Riley Damiani,Andrej Sekera,Riley Damiani,440,1,0,4,8.181818181818182,0,32.72727272727273,2.727272727272727,0,0.9346025967701398,0,Andrej Sekera,Riley Damiani
Jani Hakanpaa & Riley Damiani,Jani Hakanpaa,Riley Damiani,1144,0,1,10,0,3.1468531468531467,31.46853146853147,0,1.0489510489510487,0,0.6496949907345595,Jani Hakanpaa,Riley Damiani
Jani Hakanpaa & Ty Dellandrea,Jani Hakanpaa,Ty Dellandrea,542,0,0,5,0,0,33.210332103321036,0,0,0,0,Jani Hakanpaa,Ty Dellandrea
Riley Damiani & Tanner Kero,Riley Damiani,Tanner Kero,1528,0,1,13,0,2.356020942408377,30.6282722513089,0,0.7853403141361257,0,0.544035495787182,Riley Damiani,Tanner Kero
Andrej Sekera & Ty Dellandrea,Andrej Sekera,Ty Dellandrea,75,0,0,2,0,0,96,0,0,0,0,Andrej Sekera,Ty Dellandrea
Denis Gurianov & Riley Damiani,Denis Gurianov,Riley Damiani,396,0,0,1,0,0,9.090909090909092,0,0,0,0,Denis Gurianov,Riley Damiani
Jacob Peterson & Ty Dellandrea,Jacob Peterson,Ty Dellandrea,188,0,0,1,0,0,19.148936170212764,0,0,0,0,Jacob Peterson,Ty Dellandrea
Jason Robertson & Riley Damiani,Jason Robertson,Riley Damiani,233,1,0,7,15.450643776824034,0,108.15450643776823,5.150214592274677,0,0.9942018396470886,0,Jason Robertson,Riley Damiani
Joe Pavelski & Riley Damiani,Joe Pavelski,Riley Damiani,375,1,0,9,9.6,0,86.4,3.1999999999999997,0,0.9592377960216337,0,Joe Pavelski,Riley Damiani
Jason Robertson & Ty Dellandrea,Jason Robertson,Ty Dellandrea,239,0,1,3,0,15.06276150627615,45.18828451882845,0,5.02092050209205,0,0.9934015499741091,Jason Robertson,Ty Dellandrea
Jamie Benn & Ty Dellandrea,Jamie Benn,Ty Dellandrea,424,1,0,2,8.49056603773585,0,16.9811320754717,2.830188679245283,0,0.940998279780886,0,Jamie Benn,Ty Dellandrea
Riley Damiani & Tyler Seguin,Riley Damiani,Tyler Seguin,494,0,0,5,0,0,36.43724696356276,0,0,0,0,Riley Damiani,Tyler Seguin
Tanner Kero & Ty Dellandrea,Tanner Kero,Ty Dellandrea,46,0,0,2,0,0,156.52173913043478,0,0,0,0,Tanner Kero,Ty Dellandrea
Esa Lindell & Joel Hanley,Esa Lindell,Joel Hanley,2726,1,4,21,1.3206162876008805,5.282465150403522,27.73294203961849,0.4402054292002935,1.760821716801174,0.3560958692151913,0.8280964502640773,Esa Lindell,Joel Hanley
Joel Hanley & Ryan Suter,Joel Hanley,Ryan Suter,1286,0,3,5,0,8.398133748055988,13.996889580093313,0,2.7993779160186625,0,0.9391520966400816,Joel Hanley,Ryan Suter
Esa Lindell & Thomas Harley,Esa Lindell,Thomas Harley,1669,1,2,10,2.156980227681246,4.313960455362492,21.569802276812464,0.718993409227082,1.437986818454164,0.5127575370329478,0.7625947822818008,Esa Lindell,Thomas Harley
Jacob Peterson & Thomas Harley,Jacob Peterson,Thomas Harley,4710,2,2,34,1.5286624203821657,1.5286624203821657,25.987261146496817,0.5095541401273885,0.5095541401273885,0.3992366246100234,0.3992366246100234,Jacob Peterson,Thomas Harley
Joel Hanley & Thomas Harley,Joel Hanley,Thomas Harley,1451,0,0,7,0,0,17.36733287388008,0,0,0,0,Joel Hanley,Thomas Harley
Joe Pavelski & Riley Tufte,Joe Pavelski,Riley Tufte,281,1,0,2,12.811387900355871,0,25.622775800711743,4.270462633451957,0,0.9860246837912386,0,Joe Pavelski,Riley Tufte
Joel Hanley & Riley Tufte,Joel Hanley,Riley Tufte,409,0,0,1,0,0,8.80195599022005,0,0,0,0,Joel Hanley,Riley Tufte
Riley Tufte & Thomas Harley,Riley Tufte,Thomas Harley,1289,1,1,6,2.7928626842513578,2.7928626842513578,16.757176105508147,0.9309542280837859,0.9309542280837859,0.6058226042858357,0.6058226042858357,Riley Tufte,Thomas Harley
Jacob Peterson & Riley Tufte,Jacob Peterson,Riley Tufte,958,0,0,4,0,0,15.031315240083506,0,0,0,0,Jacob Peterson,Riley Tufte
Michael Raffl & Riley Tufte,Michael Raffl,Riley Tufte,86,0,0,0,0,0,0,0,0,0,0,Michael Raffl,Riley Tufte
Riley Tufte & Tanner Kero,Riley Tufte,Tanner Kero,26,0,0,0,0,0,0,0,0,0,0,Riley Tufte,Tanner Kero
Jason Robertson & Riley Tufte,Jason Robertson,Riley Tufte,57,0,0,0,0,0,0,0,0,0,0,Jason Robertson,Riley Tufte
Andrej Sekera & Rhett Gardner,Andrej Sekera,Rhett Gardner,197,0,0,0,0,0,0,0,0,0,0,Andrej Sekera,Rhett Gardner
